idf_threshold,train_accs,train_f1s,test_accs,test_f1s,model_name
10.0,0.7731764705882352,0.8093360199327078,0.44666666666666666,0.4474098400090144,nb
9.5,0.7731764705882352,0.8093360199327078,0.44666666666666666,0.4474098400090144,nb
9.0,0.7731764705882352,0.8093360199327078,0.44666666666666666,0.4474098400090144,nb
8.5,0.7696470588235295,0.80627806289436,0.44666666666666666,0.4479528110142163,nb
8.0,0.7656470588235295,0.802908013593927,0.4493333333333333,0.44953741616274445,nb
7.5,0.7508235294117647,0.7901244108091487,0.448,0.44776606689498755,nb
7.0,0.7355294117647059,0.7767215331501444,0.448,0.44567718500354764,nb
6.5,0.7218823529411764,0.7650859930553502,0.44266666666666665,0.4415356510279234,nb
6.0,0.6936470588235294,0.7405341036767086,0.43466666666666665,0.43252726401459807,nb
5.5,0.6684705882352941,0.7170501780172351,0.42533333333333334,0.4164783763519071,nb
5.0,0.6338823529411765,0.6833012126888113,0.4093333333333333,0.3978430053406291,nb
4.5,0.6028235294117648,0.6521961132148898,0.39466666666666667,0.3721967254426314,nb
4.0,0.5630588235294117,0.610813438801672,0.384,0.363925036480491,nb
3.5,0.5421176470588235,0.5851659355953756,0.37733333333333335,0.3453272048608054,nb
3.0,0.532235294117647,0.5736344481028366,0.3626666666666667,0.35007632882882866,nb
2.5,0.5967058823529412,0.624040102661324,0.43466666666666665,0.42252939474060114,nb
2.0,0.6983529411764706,0.6919541711395987,0.5453333333333333,0.5110223154087297,nb
1.5,0.5569411764705883,0.5519920227708986,0.48133333333333334,0.46113189760783424,nb
