idf_threshold,train_accs,train_f1s,test_accs,test_f1s,model_name
10.0,0.9997333333333334,0.9997375323563704,0.9413333333333334,0.9393769730549865,bert_uncased
9.5,0.9997333333333334,0.9997375323563704,0.9373333333333334,0.9349214904740009,bert_uncased
9.0,1.0,1.0,0.948,0.9460112176237153,bert_uncased
8.5,0.9997333333333334,0.9997375323563704,0.94,0.9383642605767122,bert_uncased
8.0,0.9997333333333334,0.9997375323563704,0.9373333333333334,0.9357368735601558,bert_uncased
7.5,0.9997333333333334,0.9997375323563704,0.9333333333333333,0.9316188334583954,bert_uncased
7.0,0.9997333333333334,0.9997375323563704,0.94,0.9381619082241132,bert_uncased
6.5,0.9997333333333334,0.9997375323563704,0.9426666666666667,0.9411945063620832,bert_uncased
6.0,0.9997333333333334,0.9997375323563704,0.9386666666666666,0.9368939697350006,bert_uncased
5.5,1.0,1.0,0.94,0.9377937730961493,bert_uncased
5.0,0.9994666666666666,0.9994740419052992,0.944,0.9425756800968628,bert_uncased
4.5,0.9997333333333334,0.9997375323563704,0.936,0.934697023330839,bert_uncased
4.0,1.0,1.0,0.928,0.9261209434739921,bert_uncased
3.5,0.9997333333333334,0.9997375323563704,0.9266666666666666,0.9250003453347571,bert_uncased
3.0,0.9997333333333334,0.999733226623983,0.9066666666666666,0.9044386623937513,bert_uncased
2.5,0.9994666666666666,0.999475065616798,0.8946666666666667,0.8904943216077719,bert_uncased
2.0,0.9994666666666666,0.9994750620005511,0.88,0.8754865421171015,bert_uncased
1.5,0.9984,0.9984046189086397,0.8613333333333333,0.8562463363614409,bert_uncased
