idf_threshold,train_accs,train_f1s,test_accs,test_f1s,model_name
10.0,0.9955555555555555,0.9954643675184428,0.604,0.5997426404328131,bert_uncased
9.5,0.9973333333333333,0.997315752197369,0.6108,0.6078438054118869,bert_uncased
9.0,0.9951111111111111,0.9950787849504187,0.6016,0.5981234526278486,bert_uncased
8.5,0.9928888888888889,0.9926359061170951,0.6128,0.6080365460100573,bert_uncased
8.0,0.9942222222222222,0.9941194145036099,0.6164,0.6132990849032519,bert_uncased
7.5,0.996,0.9958144566488184,0.6124,0.6094808265556683,bert_uncased
7.0,0.9973333333333333,0.9972807737529908,0.6228,0.6202003890260586,bert_uncased
6.5,0.9924444444444445,0.9922606768860014,0.5976,0.5966353865544676,bert_uncased
6.0,0.9977777777777778,0.9977828100321731,0.6076,0.6043404919507244,bert_uncased
5.5,0.992,0.9917872786029139,0.5872,0.584514206755357,bert_uncased
5.0,0.9942222222222222,0.9942385491231494,0.586,0.5799533247355619,bert_uncased
4.5,0.984,0.983626087295181,0.5608,0.558854193444442,bert_uncased
4.0,0.9955555555555555,0.9955305982173226,0.5212,0.5173349981658207,bert_uncased
3.5,0.9786666666666667,0.9774732344434427,0.5052,0.5000115501940285,bert_uncased
3.0,0.9844444444444445,0.9843049688972064,0.4668,0.46093156453513556,bert_uncased
2.5,0.9662222222222222,0.9656560547277623,0.4528,0.44183793150482287,bert_uncased
2.0,0.8817777777777778,0.8728114401012519,0.3872,0.37047053596842927,bert_uncased
1.5,0.8382222222222222,0.827348550152857,0.3556,0.33948510167617363,bert_uncased
